,MDD,MSE,RMSE,Sharpe Ratio,annual returns,feature,label,level,method,model,name,validation length
83,-0.21036306366420846,0.0004307805614368319,0.018736459122185276,0.7496995397256968,0.10936565510309793,LR,S_RF_CR_1Y,sector,running,RF,RF LR sector validation=1Y,1Y
84,-0.23270054615788835,0.0003895591684222216,0.017588436392891982,0.7504119076133141,0.10231300891176254,LR,S_RF_CR_6M,sector,baseline,RF,RF LR sector validation=6M,6M
85,-0.27775063586473264,0.0003889149760229764,0.01757373103765013,0.833300522898429,0.11736899795293265,LR,S_RF_CR_6M,sector,best,RF,RF LR sector validation=6M,6M
86,-0.2198144473602025,0.00038957975016180624,0.017588366926178316,0.9338367896009933,0.1368898334822921,LR,S_RF_CR_6M,sector,worst,RF,RF LR sector validation=6M,6M
87,-0.21981444736020248,0.0003895352562990864,0.017587027259491638,0.85787098799286,0.1243056481158813,LR,S_RF_CR_6M,sector,running,RF,RF LR sector validation=6M,6M
88,-0.21845946790109527,0.0004698835202316801,0.019620595218248552,0.6452853687290816,0.0930696130056392,TI,S_RF_TI_1Y,sector,baseline,RF,RF TI sector validation=1Y,1Y
89,-0.2881520542216527,0.00046456243103874166,0.01951171630025824,0.46856079964114333,0.06160976071725832,TI,S_RF_TI_1Y,sector,best,RF,RF TI sector validation=1Y,1Y
90,-0.294924663783076,0.00047073136636138595,0.01964060668866625,0.43114923106370906,0.054849348090055816,TI,S_RF_TI_1Y,sector,worst,RF,RF TI sector validation=1Y,1Y
91,-0.26501905347244276,0.00046744609977173476,0.019586764469553722,0.4190284938712544,0.05251866602972277,TI,S_RF_TI_1Y,sector,running,RF,RF TI sector validation=1Y,1Y
92,-0.2948223712897361,0.00043078358403290224,0.018736933608229266,0.4155113260086773,0.05293999066057786,LR,S_RF_TI_6M,sector,baseline,RF,RF LR sector validation=6M,6M
93,-0.4344898345150728,0.00042989538647533596,0.01872431480724354,0.27566971580660743,0.030138931475676367,LR,S_RF_TI_6M,sector,best,RF,RF LR sector validation=6M,6M
94,-0.33134230480937366,0.00043104355865176166,0.01874063035911135,0.5909437080755471,0.08224514730120935,LR,S_RF_TI_6M,sector,worst,RF,RF LR sector validation=6M,6M
95,-0.34821091309122465,0.0004310661666446414,0.01874051136125758,0.5944958420122111,0.08316227924071184,LR,S_RF_TI_6M,sector,running,RF,RF LR sector validation=6M,6M
96,-0.3092213987982462,0.00045033285028016335,0.01918742407698266,0.5365815741981587,0.06316805448361351,LR,S_LGB_CR_1Y,sector,baseline,LGB,LGB LR sector validation=1Y,1Y
97,-0.465942989048906,0.00045046490649324714,0.019189154391468472,0.4484154756321758,0.051387661057806566,LR,S_LGB_CR_1Y,sector,best,LGB,LGB LR sector validation=1Y,1Y
98,-0.46487126538886786,0.000451188587963233,0.019199944436610102,0.42300922906316657,0.04837369091454713,LR,S_LGB_CR_1Y,sector,worst,LGB,LGB LR sector validation=1Y,1Y
99,-0.34446222307248037,0.0004509187234028714,0.01919795667142875,0.5736975979551138,0.06912462286650611,LR,S_LGB_CR_1Y,sector,running,LGB,LGB LR sector validation=1Y,1Y
100,-0.32515944724830903,0.0004110801817222705,0.018062555801128647,0.8405176672603153,0.10812864329465,LR,S_LGB_CR_6M,sector,baseline,LGB,LGB LR sector validation=6M,6M
101,-0.2202552412181364,0.00041009073546005825,0.01805139498909232,0.7699116837385984,0.09372140353742742,LR,S_LGB_CR_6M,sector,best,LGB,LGB LR sector validation=6M,6M
102,-0.3567128629401413,0.0004098458747207934,0.018047709781555704,0.5944285609339879,0.07164578243423159,LR,S_LGB_CR_6M,sector,worst,LGB,LGB LR sector validation=6M,6M
103,-0.43033810586330096,0.00041107247985539626,0.018059021721004733,0.44053698366475336,0.04977948205458027,LR,S_LGB_CR_6M,sector,running,LGB,LGB LR sector validation=6M,6M
104,-0.40046817577782545,0.00041920949565232754,0.018099603072919915,0.49544208401599593,0.0553267554958341,LR,S_SVR_CR_1Y,sector,baseline,SVR,SVR LR sector validation=1Y,1Y
105,-0.43410813035433365,0.00041913305289624264,0.018096542413587147,0.3461983739819025,0.035319356764168974,LR,S_SVR_CR_1Y,sector,best,SVR,SVR LR sector validation=1Y,1Y
106,-0.40046817577782545,0.0004192649080164733,0.01810096996907325,0.4010504694771551,0.042955708258246794,LR,S_SVR_CR_1Y,sector,worst,SVR,SVR LR sector validation=1Y,1Y
107,-0.40046817577782545,0.00041915738095522074,0.0180980301941288,0.49304472260904597,0.054988513998520894,LR,S_SVR_CR_1Y,sector,running,SVR,SVR LR sector validation=1Y,1Y
108,-0.2607406041247039,0.0006633537410028737,0.022957168642044626,0.5582931905123856,0.07466721467925641,LR,S_SVR_CR_6M,sector,baseline,SVR,SVR LR sector validation=6M,6M
109,-0.29090695887092205,0.0006627177248681566,0.022943506308416656,0.09939077050750741,0.0036998748825003425,LR,S_SVR_CR_6M,sector,best,SVR,SVR LR sector validation=6M,6M
110,-0.2607406041247036,0.0006632982821116475,0.022955396210785253,0.6115059867895066,0.08242026629455412,LR,S_SVR_CR_6M,sector,worst,SVR,SVR LR sector validation=6M,6M
111,-0.2607406041247039,0.0006631866740586708,0.02295321241695385,0.4713832311107401,0.060708531659630305,LR,S_SVR_CR_6M,sector,running,SVR,SVR LR sector validation=6M,6M
112,-0.47236426202171294,0.0005426730280777861,0.020992655234937183,-0.06950827595693827,-0.01789758934283847,TI,S_SVR_TI_1Y,sector,baseline,SVR,SVR TI sector validation=1Y,1Y
113,-0.34048231463419737,0.000524134590995297,0.020627961807749045,0.11736618857339635,0.006763090155086138,TI,S_SVR_TI_1Y,sector,best,SVR,SVR TI sector validation=1Y,1Y
114,-0.4174719228443319,0.0005360936752333529,0.020825225111073636,-0.008531163397974616,-0.010035475545175365,TI,S_SVR_TI_1Y,sector,worst,SVR,SVR TI sector validation=1Y,1Y
115,-0.3817846572105993,0.0005280325121796354,0.02072792510547901,-0.01531056282466084,-0.010815904956826494,TI,S_SVR_TI_1Y,sector,running,SVR,SVR TI sector validation=1Y,1Y
